Date,BTC,SPY,DJI,IXIC,NYSE,TNX,XAU/USD,VIX,IYR,VNQ,HashDiff,Hashrate,Address,Transaction,GreedIndex
2025-02-22,96577.7578125,,,,,,,,,,112367849508680.31,726158692.58116,552899.0,551849.0,49.0
2025-02-23,96273.921875,,,,,,,,,,111468138904816.48,720344461.2092884,566278.0,514780.5,50.0
2025-02-24,91418.171875,592.0225219726562,43461.2109375,19286.9296875,19859.19921875,4.39300012588501,2947.89990234375,18.979999542236328,95.14607238769531,89.32543182373047,110568428300952.64,714530229.8374169,579657.0,477712.0,49.0
2025-02-25,88736.171875,589.0783081054688,43621.16015625,19026.390625,19924.05078125,4.297999858856201,2904.5,19.43000030517578,96.2293930053711,90.4225845336914,110568428300952.61,750256741.3292878,593036.0,440643.5,25.0
2025-02-26,84347.0234375,589.3756713867188,43433.12109375,19075.259765625,19932.849609375,4.249000072479248,2916.800048828125,19.100000381469727,95.76652526855469,90.04391479492188,110568428300952.6,785983252.8211586,579236.25,403575.0,21.0
2025-02-27,84704.2265625,579.9680786132812,43239.5,18544.419921875,19808.150390625,4.284999847412109,2883.199951171875,21.1299991607666,96.1703109741211,90.40316009521484,110568428300952.56,821709764.3130294,565436.5,368909.25,10.0
2025-02-28,84373.0078125,589.018798828125,43840.91015625,18847.279296875,20028.189453125,4.230999946594238,2836.800048828125,19.6299991607666,96.91879272460938,91.17020416259766,110568428300952.53,857436275.8049003,551636.75,334243.5,16.0
2025-03-01,86031.9140625,,,,,,,,,,110568428300952.55,843695309.8464885,537837.0,299577.75,20.0
2025-03-02,94248.3515625,,,,,,,,,,110568428300952.56,829954343.8880765,541647.5,264912.0,26.0
2025-03-03,86065.671875,578.69921875,43191.23828125,18350.189453125,19823.48046875,4.179999828338623,2890.199951171875,22.780000686645508,97.4013671875,91.59740447998047,110568428300952.56,816213377.9296646,545458.0,291271.25,33.0
2025-03-04,87222.1953125,571.8491821289062,42520.98828125,18285.16015625,19495.560546875,4.210000038146973,2909.60009765625,23.510000228881836,96.31803894042969,90.53909301757812,110568428300952.58,802472411.9712528,549268.5,317630.5,15.0
2025-03-05,90623.5625,577.995361328125,43006.58984375,18552.73046875,19754.5703125,4.264999866485596,2915.300048828125,21.93000030517578,97.48016357421875,91.54886627197266,110568428300952.6,790105542.6086822,553079.0,343989.75,20.0
2025-03-06,89961.7265625,567.7352905273438,42579.078125,18069.259765625,19506.33984375,4.285999774932861,2916.60009765625,24.8700008392334,94.8801498413086,89.19921112060547,110568428300952.6,777738673.2461114,532042.0,370349.0,25.0
2025-03-07,86742.671875,570.9173583984375,42801.71875,18196.220703125,19573.060546875,4.316999912261963,2904.699951171875,23.3700008392334,95.5006103515625,89.73322296142578,110568428300952.6,765371803.8835407,511005.0,389317.75,34.0
2025-03-08,86154.59375,,,,,,,,,,110568428300952.61,753004934.5209701,489968.0,408286.5,28.0
2025-03-09,80601.0390625,,,,,,,,,,110963697273301.6,777996765.9147584,468931.0,427255.25,27.0
2025-03-10,78532.0,555.710693359375,41911.7109375,17468.3203125,19202.380859375,4.2129998207092285,2891.0,27.860000610351562,94.59455871582031,88.86909484863281,111358966245650.56,802988597.3085468,488705.25,446224.0,20.0
2025-03-11,82862.2109375,551.091064453125,41433.48046875,17436.099609375,19052.130859375,4.288000106811523,2912.89990234375,26.920000076293945,93.4521255493164,87.8302001953125,111754235217999.53,827980428.7023352,508479.5,444465.25,24.0
2025-03-12,83722.359375,554.0155029296875,41350.9296875,17648.44921875,19051.640625,4.317999839782715,2939.10009765625,24.229999542236328,93.10742950439453,87.55834197998047,112149504190348.52,852972260.0961236,528253.75,442706.5,34.0
2025-03-13,81066.703125,546.6302490234375,40813.5703125,17303.009765625,18875.529296875,4.27400016784668,2984.300048828125,24.65999984741211,91.33470153808594,85.83009338378906,112149504190348.53,841822295.9118605,548028.0,440947.75,45.0
2025-03-14,83969.1015625,557.9213256835938,41488.19140625,17754.08984375,19231.349609375,4.308000087738037,2994.5,21.770000457763672,93.1960678100586,87.54863739013672,112149504190348.53,830672331.7275975,538869.5,439189.0,27.0
2025-03-15,84343.109375,,,,,,,,,,112149504190348.53,819522367.5433345,529711.0,421701.0,46.0
2025-03-16,82579.6875,,,,,,,,,,112149504190348.55,808372403.3590714,520552.5,404213.0,30.0
2025-03-17,84075.6875,562.2235717773438,41841.62890625,17808.66015625,19494.7109375,4.306000232696533,3000.0,20.510000228881836,94.66349029541016,89.04386138916016,112149504190348.55,804191166.7899728,511394.0,386725.0,32.0
2025-03-18,82718.5,556.1468505859375,41581.30859375,17504.119140625,19421.580078125,4.281000137329102,3035.10009765625,21.700000762939453,94.29673767089844,88.57781982421875,112149504190348.56,800009930.2208741,519098.75,369237.0,34.0
2025-03-19,86854.2265625,562.2037353515625,41964.62890625,17750.7890625,19581.3203125,4.25600004196167,3035.89990234375,19.899999618530273,94.43513488769531,88.68461608886719,112149504190348.56,795828693.6517754,526803.5,380387.5,32.0
2025-03-20,84167.1953125,560.5780029296875,41953.3203125,17691.630859375,19537.26953125,4.232999801635742,3040.0,19.799999237060547,94.22754669189453,88.62635803222656,112149504190348.56,791647457.0826768,534508.25,391538.0,49.0
2025-03-21,84043.2421875,560.762939453125,41985.3515625,17784.05078125,19454.30078125,4.251999855041504,3018.199951171875,19.280000686645508,93.33785247802734,87.64572143554688,112551505345474.92,811449875.5742346,542213.0,402688.5,31.0
2025-03-22,83832.484375,,,,,,,,,,112953506500601.28,831252294.0657926,540940.5,413839.0,32.0
2025-03-23,86054.375,,,,,,,,,,113355507655727.64,851054712.5573504,539668.0,439146.25,30.0
2025-03-24,87498.9140625,570.8053588867188,42583.3203125,18188.58984375,19704.2109375,4.330999851226807,3013.10009765625,17.479999542236328,94.62296295166016,88.99532318115234,113757508810854.0,870857131.0489082,538395.5,464453.5,45.0
2025-03-25,87471.703125,572.177490234375,42587.5,18271.859375,19678.439453125,4.307000160217285,3023.699951171875,17.149999618530273,93.57510375976562,87.99675750732422,113757508810854.0,870857131.0489082,537123.0,489760.75,46.0
2025-03-26,86900.8828125,565.3466796875,42454.7890625,17899.01953125,19585.830078125,4.3379998207092285,3020.89990234375,18.329999923706055,94.08914947509766,88.34007263183594,113757508810854.0,870857131.0489082,525616.25,515068.0,47.0
2025-03-27,87177.1015625,563.8452758789062,42299.69921875,17804.029296875,19534.720703125,4.36899995803833,3060.199951171875,18.690000534057617,93.7925796508789,88.11446380615234,113757508810854.0,870857131.0489082,514109.5,462602.5,40.0
2025-03-28,84353.1484375,552.4904174804688,41583.8984375,17322.990234375,19270.30078125,4.255000114440918,3086.5,21.649999618530273,93.65418243408203,87.99675750732422,113757508810854.0,870857131.0489082,502602.75,410137.0,44.0
2025-03-29,82597.5859375,,,,,,,,,,113757508810854.0,843996277.9808413,491096.0,357671.5,26.0
2025-03-30,82334.5234375,,,,,,,,,,113757508810854.0,817135424.9127743,508582.25,305206.0,32.0
2025-03-31,82548.9140625,556.1991577148438,42001.76171875,17299.2890625,19395.859375,4.245999813079834,3122.800048828125,22.280000686645508,94.6526107788086,88.81090545654297,113757508810854.0,790274571.8447073,526068.5,326915.25,34.0
2025-04-01,85169.171875,557.7700805664062,41989.9609375,17449.890625,19398.279296875,4.156000137329102,3118.89990234375,21.770000457763672,94.71192932128906,88.85014343261719,113757508810854.0,763413718.7766403,543554.75,348624.5,34.0
2025-04-02,82485.7109375,561.2998657226562,42225.3203125,17601.05078125,19532.740234375,4.196000099182129,3139.89990234375,21.510000228881836,95.11722564697266,89.38964080810547,114419118448016.27,809805625.059439,561041.0,370333.75,44.0
2025-04-03,83102.828125,533.6386108398438,40545.9296875,16550.609375,18767.189453125,4.054999828338623,3097.0,30.020000457763672,92.1614990234375,86.33902740478516,115080728085178.53,856197531.3422377,537852.0,392043.0,25.0
2025-04-04,83843.8046875,502.3977966308594,38314.859375,15587.7900390625,17618.609375,3.984999895095825,3012.0,45.310001373291016,88.08871459960938,82.59198760986328,115742337722340.81,902589437.6250364,514663.0,371379.0,28.0
2025-04-05,83504.796875,,,,,,,,,,116403947359503.08,948981343.907835,491474.0,350715.0,30.0
2025-04-06,78214.484375,,,,,,,,,,117679908802601.81,909552071.8779052,468285.0,330051.0,34.0
2025-04-07,79235.3359375,501.5029296875,37965.6015625,15603.259765625,17438.640625,4.15500020980835,2951.300048828125,46.97999954223633,85.67668151855469,80.4241943359375,118955870245700.53,870122799.8479755,491134.0,309387.0,23.0
2025-04-08,76271.953125,493.64801025390625,37645.58984375,15267.91015625,17188.4609375,4.26200008392334,2968.39990234375,52.33000183105469,83.51177978515625,78.26620483398438,120231831688799.27,830693527.8180459,513983.0,333297.75,24.0
2025-04-09,82573.953125,545.4906005859375,40608.44921875,17124.970703125,18398.48046875,4.400000095367432,3056.5,33.619998931884766,88.39515686035156,82.935302734375,121507793131898.0,791264255.7881161,536832.0,357208.5,18.0
2025-04-10,79626.140625,521.5877685546875,39593.66015625,16387.310546875,17890.5703125,4.394000053405762,3155.199951171875,40.720001220703125,86.31922912597656,81.04216003417969,121507793131897.94,853176153.6646671,559681.0,381119.25,39.0
2025-04-11,83404.8359375,530.8943481445312,40212.7109375,16724.4609375,18219.650390625,4.493000030517578,3222.199951171875,37.560001373291016,87.58456420898438,82.03286743164062,121507793131897.86,915088051.541218,552615.5,405030.0,25.0
2025-04-12,85287.109375,,,,,,,,,,121507793131897.78,976999949.4177691,545550.0,414497.25,43.0
2025-04-13,83684.9765625,,,,,,,,,,121507793131897.72,1038911847.2943201,538484.5,423964.5,45.0
2025-04-14,84542.390625,536.0447387695312,40524.7890625,16831.48046875,18432.25,4.363999843597412,3204.800048828125,30.889999389648438,89.4232406616211,83.72982788085938,121507793131897.78,1010220967.7905525,531419.0,433431.75,31.0
2025-04-15,83668.9921875,534.5433349609375,40368.9609375,16823.169921875,18430.0390625,4.322999954223633,3218.699951171875,30.1200008392334,89.67037963867188,83.98487091064453,121507793131897.83,981530088.2867849,527387.25,442899.0,38.0
2025-04-16,84033.8671875,522.6615600585938,39669.390625,16307.16015625,18245.650390625,4.2789998054504395,3326.60009765625,32.63999938964844,89.55175018310547,83.92601013183594,121507793131897.88,952839208.7830174,523355.5,468443.25,29.0
2025-04-17,84895.75,523.4072265625,39142.23046875,16286.4501953125,18367.119140625,4.333000183105469,3308.699951171875,29.649999618530273,90.87639617919922,85.18156433105469,121507793131897.94,924148329.2792498,519323.75,493987.5,30.0
