"Date","hedge_ratio_tvp"
2021-05-13,1.30506390374873
2021-05-14,1.28394113756713
2021-05-18,1.28992595094928
2021-05-19,1.32657042239551
2021-05-20,1.3496614718443
2021-05-21,1.33743393253217
2021-05-25,1.34526076795444
2021-05-26,1.34641110634959
2021-05-27,1.34556980452031
2021-05-28,1.34285674221515
2021-06-02,1.34235355361037
2021-06-03,1.33077065366284
2021-06-04,1.29201695476178
2021-06-08,1.29376843395277
2021-06-09,1.27780629180029
2021-06-10,1.27655242963022
2021-06-11,1.27712890138159
2021-06-15,1.2759840787277
2021-06-16,1.29483065995684
2021-06-17,1.29725245178857
2021-06-18,1.3422269055856
2021-06-22,1.34489561146181
2021-06-23,1.3424712393807
2021-06-24,1.35333078303862
2021-06-25,1.32663985446344
2021-06-29,1.32462918964139
2021-06-30,1.32348920249355
2021-07-01,1.30483948345529
2021-07-02,1.29855630487559
2021-07-07,1.29324817958642
2021-07-08,1.30873990939941
2021-07-09,1.31703107788989
2021-07-13,1.3191743897221
2021-07-14,1.31918263556643
2021-07-15,1.32769208311789
2021-07-16,1.3317783426226
2021-07-20,1.28295467333943
2021-07-21,1.31449895757894
2021-07-22,1.31802266120087
2021-07-23,1.33668846986603
2021-07-27,1.31973393252649
2021-07-28,1.3187874664221
2021-07-29,1.31795305336802
2021-07-30,1.29416952539723
2021-08-03,1.27800513579281
2021-08-04,1.26320222335462
2021-08-05,1.27770934687271
2021-08-06,1.28553734845753
2021-08-10,1.28423134217444
2021-08-11,1.28304979007426
2021-08-12,1.27571807763387
2021-08-13,1.28252105108
2021-08-17,1.28695389629277
2021-08-18,1.26936071083829
2021-08-19,1.26836240689503
2021-08-20,1.30425160004612
2021-08-24,1.29676279398647
2021-08-25,1.29836709454739
2021-08-26,1.31578531006678
2021-08-27,1.33389593040356
2021-08-31,1.33355394372757
2021-09-01,1.33268025806428
2021-09-02,1.33595309941347
2021-09-03,1.33539123745747
2021-09-08,1.33729427311695
2021-09-09,1.33252597100448
2021-09-10,1.34872117424833
2021-09-14,1.31198930377649
2021-09-15,1.33072801357823
2021-09-16,1.33164571686137
2021-09-17,1.33071106525751
2021-09-21,1.342889351774
2021-09-22,1.38146603835546
2021-09-23,1.40797748890041
2021-09-24,1.39768064041125
2021-09-28,1.42278545111528
2021-09-29,1.42201713471278
2021-09-30,1.33383193715434
2021-10-01,1.42657492577841
2021-10-05,1.46860108856376
2021-10-06,1.49333348623807
2021-10-07,1.46970993428859
2021-10-08,1.47005991622265
2021-10-12,1.47703167820989
2021-10-13,1.48229710137088
2021-10-14,1.44290515406265
2021-10-15,1.48685204890464
2021-10-19,1.50491641822961
2021-10-20,1.5109001495112
2021-10-21,1.50121385595127
2021-10-22,1.50065699482294
2021-10-26,1.49588210812736
2021-10-27,1.50871186842411
2021-10-28,1.52867425016176
2021-10-29,1.5312343477831
2021-11-02,1.54097689321517
2021-11-03,1.53481736840145
2021-11-04,1.51658981220369
2021-11-05,1.50956643310262
2021-11-09,1.51231586982068
2021-11-10,1.52890527105471
2021-11-11,1.52888672096137
